Campaign,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Networks,Languages,Location,EU political ads,Ad Group,Ad Group Status,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,,,Enabled,Responsive search ad,https://hyper-code-store.com/product/10-hypercasual-games-bundle-1-puzzle-game-templates-0593e586,games,,10 Hypercasual Games Bundle,Puzzle Game Templates Pack,"10 Unity Games, One Purchase",Full C# Source – $59.99,Reskin & Publish Each Game,Browser & Android Demos,Level Editors Included,Modular Puzzle & Arcade,Sold by the Developer,"Pick Bundle 1, 2 or 3",,,,,,"Ten finished hypercasual puzzle games in one Unity bundle. Full C# source, docs, editors.",Reskin any of the ten games and ship it under your name. Try the browser demo first.,"Three bundles of ten games each on HyperCodeStore, made by the studio that sells them.",
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,hypercasual game engine,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,unity hypercasual template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,hypercasual game kit unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,puzzle game engine unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,unity hypercasual game framework,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,mobile puzzle game kit unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,hypercasual template kit,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Engine,,,,Enabled,Responsive search ad,https://hyper-code-store.com/product/hypercasual-game-engine-mobile-puzzle-templates-kit-e433a2b1,games,,Hypercasual Game Engine,"30 Puzzle Templates, One Kit",Mobile Puzzle Templates Kit,"Shared Core, Swap Mechanics",Full C# Source – $119.99,Level Editors Built In,Browser & Android Demos,Reskin-Ready Hypercasual,Ship a Game a Week,Made by a Unity Studio,,,,,,"One Unity codebase, thirty playable puzzle templates with custom level editors and menus.",The kit our own hypercasual games are built on. Full C# source and documentation.,"Prototype, reskin and publish puzzle games fast. Mobile-ready for Android and iOS.",
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,unity puzzle game template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,puzzle game source code unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,unity game template level editor,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,block puzzle unity source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,unity puzzle game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,hexa puzzle unity template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,unity 2d puzzle game template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,match puzzle unity source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Puzzle Templates + Level Editor,,,,Enabled,Responsive search ad,https://hyper-code-store.com/category/puzzle,games,,Unity Puzzle Game Templates,Templates With Level Editors,Puzzle Source Code From $40,"Hexa, Block, Jam & Sort Games",Full C# Source Included,Build Levels Inside Unity,Browser Demos to Try First,"Reskin, Rebrand, Release",Reviewed Before Listing,14-Day Refund Window,,,,,,"Finished Unity puzzle games with in-editor level editors. Full C# source, docs and demos.","Hexa Away, Jig Sort, Slide Block, Jelly Loop, Bus Out and more. Reskin and publish.",Every listing is reviewed in Unity before sale. Single or multi-project licence available.,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,sort puzzle game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,jam game unity template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,bus jam unity source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,unity sorting game template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,color sort unity source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,jelly sort game unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,crowd jam unity template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,sort game unity template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Jam & Sort Puzzle Games,,,,Enabled,Responsive search ad,https://hyper-code-store.com/product/jelly-loop-jam-sorting-puzzle-template-level-editors-ff09eb12,games,,Sorting Puzzle Game Template,Jelly Loop Jam for Unity,Jam Games With Level Editor,Full C# Source – $49.99,Bus Out Crowd Jam Also Here,Sand Flow & Hexa Sort Too,"iOS, Android & WebGL",Reskin and Publish Fast,Made by the Developer,"Editors, Docs, Demo Scenes",,,,,,Jelly Loop Jam: a finished sorting puzzle with level editors and full C# source for Unity.,"Jam and sort puzzles with editors: Jelly Loop, Bus Out Crowd Jam, Sand Flow, Hexa Sort.","Reskin the art, keep the mechanics, ship under your own name. Reviewed before listing.",
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,unity mini games pack,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,unity mini game templates,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,10 games in one unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,unity casual game starter kit,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,solitaire unity source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,board game unity template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,unity arcade game templates,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,unity game starter pack,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Mini Game Template Packs,,,,Enabled,Responsive search ad,https://hyper-code-store.com/product/mini-game-templates-puzzles-10-puzzles-starters-for-unity-7e920f79,games,,10 Mini Games for Unity,Mini Game Templates – $40,"Puzzle, Arcade, Board, Casual",Solitaire Starters Included,Ten Starters Per Pack,Full C# Source Included,"Clean Code, Easy to Extend","Learn or Ship, Your Call",Five Packs to Choose From,Sold by the Studio,,,,,,"Ten small finished games per pack: puzzles, arcade, board, casual, solitaire. Unity, C#.","Starter projects you can extend or reskin. Full source, scenes and documentation.","Pick a pack for $40 on HyperCodeStore. Puzzle, arcade, board, casual and solitaire.",
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,buy unity game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity mobile game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity game templates,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity source code for sale,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity reskin game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,mobile game source code unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity complete game project,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,unity game template with ads,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,ready made unity games,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Unity Game Source Code,,,,Enabled,Responsive search ad,https://hyper-code-store.com/marketplace,games,,Unity Game Source Code,Complete Unity Game Projects,Hypercasual & Puzzle Templates,"Full C# Source, From $40",Reskin and Publish Yourself,Browser Demos on Listings,Reviewed Before Listing,14-Day Refund Window,Instant Delivery After Pay,Games and Bundles,,,,,,"Buy complete Unity game source code: hypercasual, puzzle and arcade templates, editors in.",Every listing opened and run in Unity before sale. Full C# source and documentation.,"Made by Unity developers for Unity developers. Browse games, bundles and engines.",
